
=== 1st Entry: Top Performing Stocks (min 5 trades) ===
          name direction    trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
GMRAIRPORT bb_width_entry      LONG BULLISH            14             2.0  -316.74     14.29   -4434.31
       MOL bb_width_entry      LONG BULLISH            24             3.0  -318.74     12.50   -7649.73
TIRUMALCHM bb_width_entry      LONG BULLISH            28             2.0  -325.33      7.14   -9109.19
   SAKSOFT bb_width_entry      LONG BULLISH            25             4.0  -328.19     16.00   -8204.75
NAVKARCORP bb_width_entry      LONG BULLISH             8             2.0  -336.53     25.00   -2692.26
    MAMATA bb_width_entry      LONG BULLISH            20             3.0  -342.52     15.00   -6850.39
     FLAIR bb_width_entry      LONG BULLISH            35             1.0  -347.22      2.86  -12152.75
    GARUDA bb_width_entry      LONG BULLISH            12             1.0  -351.05      8.33   -4212.61
 BORORENEW bb_width_entry      LONG BULLISH            32             4.0  -359.12     12.50  -11491.87
THOMASCOOK bb_width_entry      LONG BULLISH            30             1.0  -371.51      3.33  -11145.35
 EDELWEISS bb_width_entry      LONG BULLISH            14             2.0  -374.27     14.29   -5239.74
      EIEL bb_width_entry      LONG BULLISH            27             3.0  -374.72     11.11  -10117.34
    NAZARA bb_width_entry      LONG BULLISH            16             1.0  -374.95      6.25   -5999.15
      TEGA bb_width_entry      LONG BULLISH             6             1.0  -390.29     16.67   -2341.74
      CGCL bb_width_entry      LONG BULLISH             6             0.0  -390.53      0.00   -2343.18
KALAMANDIR bb_width_entry      LONG BULLISH            31             2.0  -391.71      6.45  -12142.88
    MCLOUD bb_width_entry      LONG BULLISH            12             0.0  -392.49      0.00   -4709.86
       HPL bb_width_entry      LONG BULLISH            10             1.0  -394.08     10.00   -3940.76
  BAJAJCON bb_width_entry      LONG BULLISH            26             2.0  -394.34      7.69  -10252.78
  NORTHARC bb_width_entry      LONG BULLISH            16             1.0  -401.08      6.25   -6417.28
  SPANDANA bb_width_entry      LONG BULLISH            11             1.0  -419.26      9.09   -4611.91
ARVINDFASN bb_width_entry      LONG BULLISH            33             1.0  -424.59      3.03  -14011.53
     DENTA bb_width_entry      LONG BULLISH            13             1.0  -428.37      7.69   -5568.84
      KRBL bb_width_entry      LONG BULLISH            33             3.0  -435.21      9.09  -14361.81
  VASCONEQ bb_width_entry      LONG BULLISH            35             2.0  -436.54      5.71  -15278.78
MANALIPETC bb_width_entry      LONG BULLISH            28             3.0  -441.09     10.71  -12350.61
     CUPID bb_width_entry      LONG BULLISH            34             1.0  -449.12      2.94  -15270.03
     SAMHI bb_width_entry      LONG BULLISH             9             0.0  -459.52      0.00   -4135.66
 SPMLINFRA bb_width_entry      LONG BULLISH             7             0.0  -500.03      0.00   -3500.24
ANANDRATHI bb_width_entry      LONG BULLISH            14             0.0  -500.10      0.00   -7001.41

================================================================================
COMPREHENSIVE BB WIDTH BACKTESTING ANALYSIS
================================================================================

1. MOST PROFITABLE STOCKS (by Total Profit Amount):
--------------------------------------------------
1. JAICORPLTD      ₹211,689.54 (537 trades, 36.1% win rate)
2. FUSION          ₹104,087.40 (384 trades, 29.2% win rate)
3. WALCHANNAG      ₹ 98,844.65 (359 trades, 29.3% win rate)
4. NIFTY50         ₹ 50,327.29 (527 trades, 40.6% win rate)
5. INOXGREEN       ₹ 48,188.47 (507 trades, 29.2% win rate)

2. MOST PROFITABLE STOCKS (by Number of Winning Trades):
-------------------------------------------------------
4. NIFTY50         214.0 winning trades (527 total, ₹  50,327 profit)
1. JAICORPLTD      194.0 winning trades (537 total, ₹ 211,690 profit)
11. BANKNIFTY       191.0 winning trades (527 total, ₹  35,543 profit)
6. KALAMANDIR      171.0 winning trades (606 total, ₹  47,199 profit)
8. EMBDL           162.0 winning trades (477 total, ₹  45,509 profit)

3. MOST TRADED STOCKS (by Number of Trades):
---------------------------------------------
6. KALAMANDIR      606 trades (₹  47,199 profit, 28.2% win rate)
1. JAICORPLTD      537 trades (₹ 211,690 profit, 36.1% win rate)
4. NIFTY50         527 trades (₹  50,327 profit, 40.6% win rate)
11. BANKNIFTY       527 trades (₹  35,543 profit, 36.2% win rate)
5. INOXGREEN       507 trades (₹  48,188 profit, 29.2% win rate)

OVERALL SUMMARY:
Total PnL: ₹893,856.40
Total Trades: 12089
Win Rate: 31.6%
Best Stock: JAICORPLTD
================================================================================
