instrument_key,symbol,analysis_date,lookback_days,total_days_analyzed,data_type,lowest_bb_date,lowest_p10_bb_width,lowest_mean_bb_width,lowest_min_bb_width,lowest_max_bb_width,lowest_day_data_points
NSE_EQ|INE249Z01020,MAZDOCK,2025-07-06T00:35:25.893586,20,27,intraday_5min,2025-06-02,12.66,48.50,9.59,171.30,75
NSE_EQ|INE683C01011,MAITHANALL,2025-07-06T00:35:25.957178,20,27,intraday_5min,2025-06-30,3.61,15.64,3.31,42.15,75
NSE_EQ|INE316L01019,BHARATWIRE,2025-07-06T00:35:26.024993,20,26,intraday_5min,2025-05-30,0.88,1.97,0.76,4.63,75
NSE_EQ|INE625G01013,WELENT,2025-07-06T00:35:26.092306,20,27,intraday_5min,2025-07-01,1.28,5.78,1.21,14.24,75
NSE_EQ|INE792Z01011,SIRCA,2025-07-06T00:35:26.156593,20,27,intraday_5min,2025-06-27,1.02,2.07,0.83,4.89,75
NSE_EQ|INE018A01030,LT,2025-07-06T00:35:26.217628,20,27,intraday_5min,2025-06-09,5.06,22.54,4.71,69.77,75
NSE_EQ|INE399L01023,ATGL,2025-07-06T00:35:26.291669,20,27,intraday_5min,2025-06-04,2.10,5.58,1.75,10.66,75
NSE_EQ|INF109KC19U5,LOWVOLIETF,2025-07-06T00:35:26.365019,20,27,intraday_5min,2025-05-28,0.03,0.07,0.03,0.17,75
NSE_EQ|INE999A01023,KSB,2025-07-06T00:35:26.437963,20,27,intraday_5min,2025-06-23,2.10,8.17,1.75,18.50,75
NSE_EQ|INE055A01016,ABREL,2025-07-06T00:35:26.502761,20,27,intraday_5min,2025-06-04,3.77,19.66,3.17,44.67,75
NSE_EQ|INE067A01029,CGPOWER,2025-07-06T00:35:26.564876,20,27,intraday_5min,2025-06-10,1.76,4.83,1.54,8.82,75
NSE_EQ|INE0AE001013,VPRPL,2025-07-06T00:35:26.636962,20,27,intraday_5min,2025-06-06,0.50,1.12,0.43,2.00,75
NSE_EQ|INE486R01017,GPTHEALTH,2025-07-06T00:35:26.705336,20,27,intraday_5min,2025-07-01,0.13,0.91,0.06,2.79,75
NSE_EQ|INE178A01016,CHENNPETRO,2025-07-06T00:35:26.769568,20,27,intraday_5min,2025-06-09,0.98,4.53,0.75,9.22,75
NSE_EQ|INE024L01027,GRAVITA,2025-07-06T00:35:26.840258,20,27,intraday_5min,2025-06-04,3.01,12.43,2.54,28.71,75
NSE_EQ|INE457A01014,MAHABANK,2025-07-06T00:35:26.906273,20,27,intraday_5min,2025-05-29,0.11,0.20,0.08,0.36,75
NSE_EQ|INE575C01027,INTLCONV,2025-07-06T00:35:26.979046,20,27,intraday_5min,2025-05-30,0.30,0.78,0.27,1.44,75
NSE_EQ|INE615H01020,TITAGARH,2025-07-06T00:35:27.055076,20,27,intraday_5min,2025-06-17,2.54,5.85,2.10,8.84,75
NSE_EQ|INE794A01010,NEULANDLAB,2025-07-06T00:35:27.129718,20,27,intraday_5min,2025-05-28,26.00,53.90,22.37,95.07,75
NSE_EQ|INE0AJG01018,HEMIPROP,2025-07-06T00:35:27.206736,20,27,intraday_5min,2025-06-25,0.31,1.40,0.26,5.02,75
NSE_EQ|INE483S01020,INFIBEAM,2025-07-06T00:35:27.281667,20,27,intraday_5min,2025-06-30,0.05,0.29,0.03,0.54,75
NSE_EQ|INE131B01039,RELAXO,2025-07-06T00:35:27.347325,20,27,intraday_5min,2025-06-09,0.86,3.35,0.74,8.54,75
NSE_EQ|INE211R01019,POWERMECH,2025-07-06T00:35:27.425305,20,27,intraday_5min,2025-06-04,6.51,25.25,5.90,59.02,75
NSE_EQ|INE00M201021,SWSOLAR,2025-07-06T00:35:27.501269,20,26,intraday_5min,2025-06-26,0.99,3.00,0.88,6.19,75
NSE_EQ|INE324A01032,JINDALSAW,2025-07-06T00:35:27.577583,20,28,intraday_5min,2025-05-27,0.57,1.49,0.54,3.42,56
NSE_EQ|INE489L01022,IIFLCAPS,2025-07-06T00:35:27.658780,20,26,intraday_5min,2025-05-27,1.14,1.62,1.09,2.86,56
