
=== 1st Entry: Top Performing Stocks (min 5 trades) ===
          name direction    trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
WALCHANNAG  1st_entry     SHORT BULLISH            13             3.0  -175.99     23.08   -2287.93
     KITEX  1st_entry      LONG BULLISH             5             2.0  -197.74     40.00    -988.69
 IDEAFORGE  1st_entry     SHORT BULLISH             9             1.0  -234.02     11.11   -2106.22
      ELIN  1st_entry      LONG BULLISH             5             1.0  -243.36     20.00   -1216.82
  IIFLCAPS  1st_entry     SHORT BULLISH             5             1.0  -295.98     20.00   -1479.92
   SANDUMA  1st_entry     SHORT BULLISH             5             0.0  -300.45      0.00   -1502.27
   PROTEAN  1st_entry      LONG BEARISH             6             0.0  -332.31      0.00   -1993.84
     YATRA  1st_entry      LONG BULLISH             6             0.0  -333.29      0.00   -1999.76
QUADFUTURE  1st_entry     SHORT BULLISH             6             1.0  -333.84     16.67   -2003.02
     QUESS  1st_entry     SHORT BEARISH             9             1.0  -343.89     11.11   -3095.03
  MARKSANS  1st_entry     SHORT BULLISH             8             0.0  -375.24      0.00   -3001.92
    FUSION  1st_entry      LONG BEARISH             9             2.0  -384.31     22.22   -3458.81
     CUPID  1st_entry     SHORT BULLISH             5             1.0  -396.20     20.00   -1980.99
KALAMANDIR  1st_entry     SHORT BULLISH             5             1.0  -398.81     20.00   -1994.06
     QUESS  1st_entry      LONG BEARISH             5             0.0  -399.97      0.00   -1999.83
   MIDHANI  1st_entry     SHORT BULLISH             5             0.0  -400.11      0.00   -2000.57
 PREMEXPLN  1st_entry     SHORT BULLISH             6             1.0  -415.33     16.67   -2491.98
      SDBL  1st_entry     SHORT BULLISH             7             1.0  -427.78     14.29   -2994.49
MOTILALOFS  1st_entry      LONG BULLISH             9             1.0  -443.91     11.11   -3995.18
  IIFLCAPS  1st_entry      LONG BULLISH             9             0.0  -444.32      0.00   -3998.88
INDSWFTLAB  1st_entry     SHORT BEARISH             5             0.0  -497.27      0.00   -2486.35
QUADFUTURE  1st_entry      LONG BULLISH             5             0.0  -499.88      0.00   -2499.42
   VINCOFE  1st_entry     SHORT BULLISH             6             0.0  -499.95      0.00   -2999.68
   RAILTEL  1st_entry     SHORT BULLISH             5             0.0  -499.97      0.00   -2499.83
NAVKARCORP  1st_entry     SHORT BULLISH             6             0.0  -500.01      0.00   -3000.07
MOREPENLAB  1st_entry     SHORT BULLISH             5             0.0  -500.03      0.00   -2500.13

--- EntryTimeString: 2_30_entry ---
       name trade_type direction   trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
       FACT 2_30_entry      LONG BULLISH             5             5.0   182.20    100.00     911.00
