[2025-07-23T12:30:00.000+05:30]: Time: 1753254000000 | BB Width Raw: 0.7624 | BB Width: 1.059% | Upper: 72.3797 | Lower: 71.6173 | Middle: 71.9985 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:35:00.000+05:30]: Time: 1753254300000 | BB Width Raw: 0.8758 | BB Width: 1.2157% | Upper: 72.4814 | Lower: 71.6056 | Middle: 72.0435 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:40:00.000+05:30]: Time: 1753254600000 | BB Width Raw: 0.9617 | BB Width: 1.3345% | Upper: 72.5443 | Lower: 71.5827 | Middle: 72.0635 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:45:00.000+05:30]: Time: 1753254900000 | BB Width Raw: 0.9666 | BB Width: 1.3413% | Upper: 72.5443 | Lower: 71.5777 | Middle: 72.061 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:50:00.000+05:30]: Time: 1753255200000 | BB Width Raw: 0.9635 | BB Width: 1.3372% | Upper: 72.5398 | Lower: 71.5762 | Middle: 72.058 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:55:00.000+05:30]: Time: 1753255500000 | BB Width Raw: 0.9629 | BB Width: 1.3365% | Upper: 72.5269 | Lower: 71.5641 | Middle: 72.0455 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:55:00.000+05:30]: Time: 1753251900000 | BB Width Raw: 0.7995 | BB Width: 1.1129% | Upper: 72.2407 | Lower: 71.4413 | Middle: 71.841 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:00:00.000+05:30]: Time: 1753252200000 | BB Width Raw: 0.7702 | BB Width: 1.0718% | Upper: 72.2476 | Lower: 71.4774 | Middle: 71.8625 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:05:00.000+05:30]: Time: 1753252500000 | BB Width Raw: 0.6961 | BB Width: 0.9685% | Upper: 72.2271 | Lower: 71.5309 | Middle: 71.879 | Threshold: 1 | Squeeze: YES
[2025-07-23T12:10:00.000+05:30]: Time: 1753252800000 | BB Width Raw: 0.7418 | BB Width: 1.0318% | Upper: 72.2674 | Lower: 71.5256 | Middle: 71.8965 | Threshold: 1 | Squeeze: NO
[2025-07-23T12:15:00.000+05:30]: Time: 1753253100000 | BB Width Raw: 0.6955 | BB Width: 0.967% | Upper: 72.2773 | Lower: 71.5817 | Middle: 71.9295 | Threshold: 1 | Squeeze: YES
[2025-07-23T12:20:00.000+05:30]: Time: 1753253400000 | BB Width Raw: 0.6931 | BB Width: 0.9634% | Upper: 72.2911 | Lower: 71.5979 | Middle: 71.9445 | Threshold: 1 | Squeeze: YES
[2025-07-23T11:20:00.000+05:30]: Time: 1753249800000 | BB Width Raw: 1.5805 | BB Width: 2.2081% | Upper: 72.3677 | Lower: 70.7873 | Middle: 71.5775 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:25:00.000+05:30]: Time: 1753250100000 | BB Width Raw: 1.5594 | BB Width: 2.1775% | Upper: 72.3967 | Lower: 70.8373 | Middle: 71.617 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:30:00.000+05:30]: Time: 1753250400000 | BB Width Raw: 1.5189 | BB Width: 2.1197% | Upper: 72.4134 | Lower: 70.8946 | Middle: 71.654 | Threshold: 1 | Squeeze: NO
