symbol,instrument_key,latest_date,latest_close,latest_bb_width,10_percentile_threshold,avg_bb_width_lookback,squeeze_ratio,volume_ratio,breakout_readiness,squeeze_rank,volume_rank,readiness_rank,composite_rank
TOP10ADD,NSE_EQ|INF740KA1UR9,2025-06-20T00:00:00.000000,99.16,0.024994752974740558,0.02513681460429567,0.05929124648956912,0.4215589054808923,0.22347659087580005,0.9234415524364566,2,1,2,5
IRISDOREME,NSE_EQ|INE01GN01025,2025-06-20T00:00:00.000000,61.48,0.0693275129713549,0.07735110204831935,0.2088622827744682,0.33192930791729164,0.6605821011966215,0.9587400418411912,1,3,1,5
SURYAROSNI,NSE_EQ|INE335A01020,2025-06-20T00:00:00.000000,346.2,0.08429653541593204,0.13620482159064162,0.1940694371670351,0.43436275513788514,0.706463750228783,0.853397030612353,3,4,3,10
TFCILTD,NSE_EQ|INE305A01015,2025-06-20T00:00:00.000000,233.19,0.10642836524704834,0.11882698217529875,0.223843704576832,0.4754583804277503,0.6147371676466076,0.851696788952795,4,2,4,10
CENTENKA,NSE_EQ|INE485A01015,2025-06-20T00:00:00.000000,496.15,0.10793576904910604,0.13291882455807535,0.2160790807619281,0.49951975299278345,0.7964088274242067,0.8507840694924818,5,5,5,15
