id,instrument_key,timestamp,open,high,low,close,volume,open_interest,time_interval,created_at,ma_9,bb_upper,bb_middle,bb_lower,vwap,partition_yyyymm,ema_5,ema_9,ema_50,atr,rsi,bb_width
11959366,NSE_EQ|INE070D01027,"2025-06-09 09:27:00",118.25,118.52,118.21,118.50,2034,0,1minute,"2025-06-09 09:28:08",0.0000,0.0000,0.0000,0.0000,118.5000,202506,0.0000,0.0000,0.0000,0.0000,0.0000,0
11959361,NSE_EQ|INE070D01027,"2025-06-09 09:26:00",118.25,118.26,118.16,118.21,1261,0,1minute,"2025-06-09 09:27:08",0.0000,0.0000,0.0000,0.0000,118.3890,202506,0.0000,0.0000,0.0000,0.0000,0.0000,0
11959356,NSE_EQ|INE070D01027,"2025-06-09 09:25:00",118.19,118.22,118.01,118.20,1915,0,1minute,"2025-06-09 09:26:08",0.0000,0.0000,0.0000,0.0000,118.3195,202506,0.0000,0.0000,0.0000,0.0000,0.0000,0
11959351,NSE_EQ|INE070D01027,"2025-06-09 09:24:00",118.20,118.27,118.04,118.26,2344,0,1minute,"2025-06-09 09:25:08",0.0000,0.0000,0.0000,0.0000,118.3011,202506,0.0000,0.0000,0.0000,0.0000,0.0000,0
11959346,NSE_EQ|INE070D01027,"2025-06-09 09:23:00",118.24,118.24,117.97,118.18,10516,0,1minute,"2025-06-09 09:24:08",0.0000,0.0000,0.0000,0.0000,118.2306,202506,118.2700,0.0000,0.0000,0.0000,0.0000,0
11959341,NSE_EQ|INE070D01027,"2025-06-09 09:22:00",118.49,118.54,118.10,118.26,9352,0,1minute,"2025-06-09 09:23:08",0.0000,0.0000,0.0000,0.0000,118.2406,202506,118.2667,0.0000,0.0000,0.0000,0.0000,0
11959336,NSE_EQ|INE070D01027,"2025-06-09 09:21:00",118.58,118.64,118.33,118.49,6714,0,1minute,"2025-06-09 09:22:08",0.0000,0.0000,0.0000,0.0000,118.2897,202506,118.3411,0.0000,0.0000,0.0000,0.0000,0
11959331,NSE_EQ|INE070D01027,"2025-06-09 09:20:00",118.86,118.86,118.50,118.59,7961,0,1minute,"2025-06-09 09:21:08",0.0000,0.0000,0.0000,0.0000,118.3465,202506,118.4241,0.0000,0.0000,0.0000,0.0000,0
